"row_num","review_id","id","contract","clause_type","clause_text","category","disagreement_type","disagreement_direction","label_gap","clause_risk_profile","typical_risk_for_type","qwen_label","gemini_label","copilot_label","qwen_confidence","gemini_confidence","qwen_reason","gemini_reason","final_label","reviewer","notes"
5086,"MR-059","AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement__Competitive Restriction Exception","AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement","Competitive Restriction Exception","The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.","MANUAL_REVIEW","LOW\u2194HIGH","Qwen\u2191",2,"typically LOW \u2014 carve-out favorable to signing party","LOW (72%)","HIGH","LOW","Low",0.9,0.9,"The clause creates an indefinite exclusivity commitment that persists forever as long as the customer meets purchase targets, removing any natural termination point for the exclusivity obligation and potentially locking the customer into a long-term dependency without a defined end date.","The clause grants exclusive rights to the Customer, which is the signing party. This is highly favorable as it protects the Customer's market position for the specified term and potentially indefinitely, provided minimum purchase requirements are met.","HIGH","Sachin","REASONING: The clause creates an indefinite exclusivity commitment that persists forever as long as the customer meets purchase targets, removing any natural termination point for the exclusivity obligation and potentially locking the customer into a long-term dependency without a defined end date.

SIGNALS: indefinite period upon the customer fulfilling the minimum annual purchase requirement, removes any natural termination point

CONTRARY THRESHOLDS:
- MED: The clause had a defined end date but still granted exclusive rights for a longer term than typical
- LOW: The clause only granted exclusive rights for a specified, finite term"
5087,"MR-060","DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement__Competitive Restriction Exception","DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement","Competitive Restriction Exception","Notwithstanding anything to the contrary, in no event shall the restrictions set forth in this Section 2.3.2 apply to [***].","MANUAL_REVIEW","LOW\u2194HIGH","Qwen\u2191",2,"typically LOW \u2014 carve-out favorable to signing party","LOW (72%)","HIGH","LOW","Low",0.9,0.7,"The clause creates a broad, undefined exception by redacting the specific scope of the carveout. Without knowing who or what is excluded from the restrictions, the signing party faces significant uncertainty regarding whether critical protections (like non-compete or non-solicit) are being waived for a competitor or a specific entity, potentially leaving the signing party exposed to unrestricted competition or solicitation.","This clause explicitly states that the competitive restrictions will not apply to a specific, albeit redacted, area. This is an exception to a restriction, which is generally favorable to the signing party as it carves out an area where they are not bound by the competitive restriction. The redaction prevents a full assessment of the scope of the exception, but the existence of an exception is positive.","MEDIUM","Sachin","REASONING: The clause creates an exception to the competitive restrictions, which is generally favorable to the signing party. However, the redaction of the specific scope of the carveout introduces uncertainty and potential risks for the signing party.

SIGNALS: The existence of an exception is positive., The redaction prevents a full assessment of the scope of the exception.

CONTRARY THRESHOLDS:
- HIGH: If the scope of the carveout was clearly defined and there were no potential risks or uncertainties involved.
- LOW: If the clause explicitly stated that the competitive restrictions would not apply to a specific entity or group, with no ambiguity or uncertainty."
5088,"MR-061","EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement__Competitive Restriction Exception","EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement","Competitive Restriction Exception","Notwithstanding the foregoing, Women.com shall be entitled to (aa) provide mini and micro web sites and Women.com promotions and sponsorships to Jenny Craig; (bb) sell, display, or distribute advertisements, including banner advertisements, newsletter placements, internet radio, commerce placements and market research, or otherwise promote Competitive Companies on pages other than the Gateway Page of the Diet Center.","MANUAL_REVIEW","LOW\u2194HIGH","Qwen\u2191",2,"typically LOW \u2014 carve-out favorable to signing party","LOW (72%)","HIGH","LOW","Low",0.95,0.9,"The clause explicitly grants the drafter (Women.com) the right to promote 'Competitive Companies' to the signing party's customers (Jenny Craig) on non-Gateway pages, effectively nullifying any exclusivity or non-solicit protections the signing party might expect and creating a direct conflict of interest that benefits the drafter at the signing party's expense.","This clause is an exception to a competitive restriction, allowing the counterparty (Women.com) to engage in specific activities with a named competitor (Jenny Craig) and to promote other competitive companies, provided it's not on the 'Gateway Page of the Diet Center'. From the perspective of the signing party (Diet Center), this clause clarifies the boundaries of the competitive restriction, ensuring that certain activities by Women.com are explicitly permitted and thus not a breach. The 'other than the Gateway Page' limitation provides some protection for the signing party's primary presence. This is a carve-out that defines what is *not* restricted, which is generally favorable for the signing party as it provides clarity and limits potential disputes over what constitutes a breach.","MEDIUM","Sachin","REASONING: The clause does provide some protection for the signing party (Diet Center) by limiting Women.com's promotional activities to non-Gateway pages, but it still allows Women.com to promote Competitive Companies on other pages, which could create a conflict of interest and potentially harm the Diet Center. The carve-out is favorable to the signing party, but its scope is not entirely clear.

SIGNALS: The clause explicitly grants Women.com the right to promote Competitive Companies on non-Gateway pages, The 'other than the Gateway Page' limitation provides some protection for the Diet Center

CONTRARY THRESHOLDS:
- HIGH: If the clause didn't have any limitations on Women.com's promotional activities or if it explicitly allowed them to promote Competitive Companies on the Gateway Page
- LOW: If the clause only allowed Women.com to provide mini and micro web sites and promotions to Jenny Craig, without any promotional activities for other Competitive Companies"
5089,"MR-062","NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT__Competitive Restriction Exception","NETGROCERINC_07_31_1998-EX-10.15-SPONSORSHIP AGREEMENT","Competitive Restriction Exception","In the event that it is determined that                   Excite violated the Agreement by excluding a bona fide                   NetGrocer Competitor from Exhibit A or displayed on the                   Excite Site advertising or promotional material from a bona                   fide NetGrocer Competitor, Excite will be obligated to (i)                   immediately add the online supermarket to Exhibit A, (ii)                   immediately remove from the Excite Site any advertising or                   promotional material from the online supermarket and (iii)                   provide NetGrocer with advertising and promotional value,                   without additional cost, equal to the advertising and                   promotional value provided to the online supermarket prior to                   the removal of its advertising and promotional material from                   the Excite Site.","MANUAL_REVIEW","LOW\u2194HIGH","Qwen\u2191",2,"typically LOW \u2014 carve-out favorable to signing party","LOW (72%)","HIGH","LOW","Low",0.95,1,"The clause imposes an open-ended financial liability on the signing party (Excite) to provide free advertising value equal to that of a competitor, creating a disproportionate and uncapped economic penalty that directly benefits the drafter (NetGrocer) without limiting the scope or duration of this obligation.","This clause outlines the remedies available to NetGrocer (the signing party) if Excite violates the competitive restriction. The remedies are specific, immediate, and aim to restore NetGrocer's competitive position and provide equivalent promotional value, which is favorable to NetGrocer. It provides clear recourse for a breach by the counterparty.","MEDIUM","Sachin","REASONING: The clause does impose an open-ended financial liability on Excite to provide free advertising value equal to that of a competitor, but it also specifies immediate remedies and aims to restore NetGrocer's competitive position. This creates a balance between the potential risk and the benefits.

SIGNALS: open-ended financial liability, immediate remedies, restore competitive position

CONTRARY THRESHOLDS:
- HIGH: If the clause didn't specify immediate remedies or aimed to punish Excite without providing a clear benefit, then I would label it HIGH risk. But since it's more about restoring balance than imposing a harsh penalty, I think MEDIUM is a better fit.
- LOW: If the clause simply stated that Excite has to add the competitor to Exhibit A without any additional obligations or benefits, then I would label it LOW risk. But since it includes immediate remedies and aims to provide equivalent promotional value, I think MEDIUM is more accurate."
5090,"MR-063","VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT__Competitive Restriction Exception","VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT","Competitive Restriction Exception","provided however, that Forty Niners SC shall be permitted to enter into a sponsorship agreement with any party that enters into a naming rights agreement with SCSA for the Stadium, provided that if SCSA enters into a naming rights agreement for the Stadium with a party that is in the Products and Services Category, Sponsor may immediately terminate this Agreement and receive a pro rated refund of any amounts paid by Sponsor for the unexpired Contract Year in which the termination occurs.","MANUAL_REVIEW","LOW\u2194HIGH","Qwen\u2191",2,"typically LOW \u2014 carve-out favorable to signing party","LOW (72%)","HIGH","LOW","Low",0,1,"The clause grants the counterparty (Sponsor) an unilateral right to terminate the contract immediately upon a specific event (naming rights agreement with a competitor) that is outside the Sponsor's control, leaving the signing party (Forty Niners SC) with no notice period, no cure opportunity, and only a pro-rated refund rather than compensation for lost future revenue or damages.","This clause provides the signing party (Sponsor) with a clear right to terminate the agreement and receive a pro-rated refund if a competitor (in the 'Products and Services Category') enters into a naming rights agreement for the Stadium. This is a favorable protection for the Sponsor, mitigating the risk of brand dilution or competitive disadvantage.","HIGH","Sachin","REASONING: The clause grants the counterparty an unilateral right to terminate the contract immediately upon a specific event that is outside their control, leaving us with no notice period, no cure opportunity, and only a pro-rated refund rather than compensation for lost future revenue or damages.

SIGNALS: unilateral termination, no notice period, pro-rated refund

CONTRARY THRESHOLDS:
- MED: The clause allowed the signing party to terminate the agreement with some form of compensation or notice period.
- LOW: The clause provided for a mutual right to terminate the agreement with some form of compensation or notice period."
5091,"MR-064","XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3)__Competitive Restriction Exception","XENCORINC_10_25_2013-EX-10.24-COLLABORATION AGREEMENT (3)","Competitive Restriction Exception","The Parties acknowledge that nothing in this Agreement shall limit or restrict XENCOR, itself or with or through any third party, from developing and using any process (except for the Process) for the manufacture of any of its products, including the Product, provided that no BII Confidential Information and Know-How is used and XENCOR adheres to its confidentiality and non-use obligations hereunder and complies with the ownership of intellectual property and Improvements as set forth in Section 8 below.","MANUAL_REVIEW","LOW\u2194HIGH","Qwen\u2191",2,"typically LOW \u2014 carve-out favorable to signing party","LOW (72%)","HIGH","LOW","Low",0.95,0.9,"The clause grants the drafter (XENCOR) a broad exception to develop and manufacture the very product covered by the agreement, effectively nullifying any exclusivity or competitive restriction for the signing party while only imposing standard confidentiality obligations. This creates a significant imbalance where the signing party's potential market rights are carved out entirely in favor of the drafter.","This clause explicitly carves out XENCOR's ability to develop and use other processes and products, which is favorable to XENCOR (the signing party in this context, as the counterparty to BII). It ensures XENCOR retains flexibility outside the specific 'Process' and BII's confidential information, provided it adheres to other contractual obligations. This is a standard and reasonable exception to competitive restrictions, protecting XENCOR's independent innovation.","LOW","Sachin","Agreed with Gemini reasoning."
5099,"MR-072","AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement__Exclusivity","AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement","Exclusivity","The Manufacturer grants exclusive rights to the Customer for the term of ten (10) years from the date of the signing of this agreement and for an indefinite period upon the customer fulfilling the minimum annual purchase requirement as listed in Schedule B. of this agreement.","MANUAL_REVIEW","LOW\u2194HIGH","Qwen\u2191",2,"typically MEDIUM \u2014 scope determines risk","LOW (38%)","HIGH","LOW","High",0.9,0.9,"The clause creates an indefinite exclusivity commitment that persists forever as long as the customer meets purchase targets, removing any natural termination point for the exclusivity obligation and potentially locking the customer into a long-term dependency without a defined end date.","The clause grants exclusive rights to the Customer, which is the signing party. This is highly favorable as it protects the Customer's market position for the specified term and potentially indefinitely, provided minimum purchase requirements are met.","HIGH","Sachin","Agreed with Qwen reasoning."
5100,"MR-073","Antares Pharma, Inc. - Manufacturing Agreement__Exclusivity","Antares Pharma, Inc. - Manufacturing Agreement","Exclusivity","Starting on the Effective Date, Antares or its Subcontractor shall provide the Manufacturing Services in order to manufacture Devices, Products, sample Products and Trainers exclusively for AMAG for the Territory, all in accordance with the Specifications, Applicable Laws, Quality Agreement and this Agreement.","MANUAL_REVIEW","LOW\u2194HIGH","Qwen\u2191",2,"typically MEDIUM \u2014 scope determines risk","LOW (38%)","HIGH","LOW","High",0.95,1,"The clause imposes a strict exclusivity obligation on the signing party (Antares) to manufacture devices solely for the counterparty (AMAG) within the Territory. This prevents the signing party from selling similar services or products to any other customers, effectively locking them out of the broader market and creating a significant dependency on a single client without any stated exceptions or reciprocity.","The clause establishes exclusivity for AMAG, meaning Antares (the counterparty to AMAG) is committing to provide manufacturing services exclusively to AMAG. From AMAG's perspective (the signing party), this is a favorable term as it secures a dedicated manufacturing resource.","HIGH","Sachin","Agreed with Qwen reasoning."
5101,"MR-074","EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement__Exclusivity","EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement","Exclusivity","Aucta, for itself and its Affiliates, hereby grants to ETON in accordance with the terms and conditions of this Agreement, an exclusive (even as to and against Aucta in the Territory) right and license, including the right to sublicense, to the Products (or any components thereof), Dossiers, and all current and future Aucta Background Intellectual Property that is owned or controlled by Aucta or its Affiliates for ETON to develop, manufacture, import, use, promote, distribute, market, advertise, offer for sale or sell (collectively, ""Market"") the Products in and for the Territory.","MANUAL_REVIEW","LOW\u2194HIGH","Qwen\u2191",2,"typically MEDIUM \u2014 scope determines risk","LOW (38%)","HIGH","LOW","High",0,1,"The clause grants ETON an exclusive license that explicitly includes exclusivity against the drafter (Aucta) itself within the Territory. This creates a significant risk for ETON as it locks them into a single source for the Products and related IP, preventing them from sourcing alternatives or engaging with other providers for the same technology in that region, which severely limits their operational flexibility and bargaining power.","From the perspective of ETON (the signing party), this clause grants an exclusive license, which is highly favorable as it prevents Aucta from competing with ETON in the specified territory for the licensed products and IP. This provides ETON with a strong market position.","MEDIUM","Sachin","REASONING: The clause grants ETON an exclusive license to develop, manufacture, import, use, promote, distribute, market, advertise, offer for sale or sell the Products in and for the Territory. This creates a significant risk for ETON as it locks them into a single source for the Products and related IP, preventing them from sourcing alternatives or engaging with other providers for the same technology in that region, which severely limits their operational flexibility and bargaining power.

SIGNALS: The clause grants an exclusive license, prevents Aucta from competing with ETON in the specified territory

CONTRARY THRESHOLDS:
- HIGH: If the clause also prevented ETON from developing or sourcing alternative products or technologies outside of the Territory, then the risk would be HIGH.
- LOW: If the clause only granted an exclusive license within a specific geographic area and did not restrict ETON's ability to develop or source alternative products or technologies outside of that area, then the risk would be LOW."
5102,"MR-075","GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement__Exclusivity","GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement","Exclusivity","For the avoidance of doubt, PFHOF has the exclusive and sole relationship with the NFL, its 32 Member Clubs, NFL Legends and Gold Jackets for any and all PFHOF and HOFV activities; provided, however, that any communication relating to any investment by the NFL in any Village Media Company project, may be made directly through the President of PFHOF or the Chief Executive Officer of HOFV; and, provided further, that the Village Media Company shall have the right to present opportunities related to any of the above for approval by PFHOF.","MANUAL_REVIEW","LOW\u2194HIGH","Gemini\u2191",2,"typically MEDIUM \u2014 scope determines risk","LOW (38%)","LOW","HIGH","High",0.95,1,"The clause grants exclusivity to PFHOF (the drafter) regarding NFL relationships, which is a standard commercial arrangement for licensing or partnership agreements where the drafter controls the IP or brand. It does not impose restrictive obligations on the signing party (Village Media Company) to procure all requirements from PFHOF or prohibit them from working with other parties, thus posing no significant risk to the signing party.","The clause establishes a broad and exclusive relationship for PFHOF with key entities (NFL, Member Clubs, Legends, Gold Jackets) for 'any and all PFHOF and HOFV activities.' This severely restricts the signing party's (Village Media Company) ability to engage with these critical entities on any related activities, creating a significant competitive disadvantage and limiting potential business opportunities. While there are carve-outs for investment communications and presenting opportunities for approval, the fundamental exclusive relationship remains with PFHOF, making it heavily one-sided against the signing party.","MEDIUM","Sachin","REASONING: The clause grants exclusivity to PFHOF regarding NFL relationships, but there are carve-outs for investment communications and presenting opportunities for approval. This creates a moderate level of risk for the signing party (Village Media Company), as they may face restrictions on engaging with critical entities, but still have some flexibility.

SIGNALS: exclusive relationship, carve-outs for investment communications

CONTRARY THRESHOLDS:
- HIGH: If the clause didn't have any carve-outs and was a blanket exclusive agreement, it would be HIGH risk. But since there are some exceptions, it's more of a MEDIUM risk.
- LOW: If the clause was non-exclusive and allowed Village Media Company to engage with NFL entities freely, it would be LOW risk. But since there is exclusivity, it's not as straightforward."
